code,codeseq,desc,gen_desc,acc_code
"0001","00",""," Therapeutic ultrasound of vessels of head and neck"," ",
"0002","00",""," Therapeutic ultrasound of heart"," ",
"0003","00",""," Therapeutic ultrasound of peripheral vascular vessels."," ",
"0009","00",""," Other therapeutic ultrasound."," ",
"0010","00",""," Implantation of chemotherapeutic agent"," ",
"0011","00",""," Infusion of drotrecogin alfa (activated)"," ",
"0012","00",""," Administration of inhaled nitric oxide"," ",
"0013","00",""," Injection or infusion of nesiritide"," ",
"0014","00",""," Injection or infusion of oxazolidinone class of antibiotics"," ",
"0015","00",""," High-dose infusion interleukin-2 (IL–2)"," ",
"0016","00",""," Pressurized treatment of venous bypass graft [conduit] with pharmaceutical s"," ",
"0017","00",""," Infusion of vasopressor agent"," ",
"0018","00","","Infusion of immunosuppressive antibody therapy"," ",
"0018","02"," IVIg","Infusion of immunosuppressive antibody therapy"," ",
"0019","00",""," Disruption of blood brain barrier via infusion [BBBD]"," ",
"0021","00",""," Intravascular imaging of extracranial cerebral vessels"," ",
"0022","00",""," Intravascular imaging of intrathoracic vessels"," ",
"0023","00",""," Intravascular imaging of peripheral vessels"," ",
"0024","00",""," Intravascular imaging of coronary vessels"," ",
"0025","00",""," Intravascular imaging of renal vessels"," ",
"0028","00",""," Intravascular imaging, other specified vessel(s)"," ",
"0029","00",""," Intravascular imaging, unspecified vessel(s)"," ",
"0031","00",""," Computer assisted surgery with CT/CT A"," ",
"0032","00",""," Computer assisted surgery with MR/MRA"," ",
"0033","00",""," Computer assisted surgery with fluoroscopy"," ",
"0034","00",""," Imageless computer assisted surgery"," ",
"0035","00",""," Computer assisted surgery with multiple datasets"," ",
"0039","00",""," Other computer assisted surgery"," ",
"0040","00","","Procedure on single vessel"," ",
"0041","00","","Procedure on two vessels"," ",
"0042","00","","Procedure on three vessels"," ",
"0043","00","","Procedure on four or more vessels"," ",
"0044","00","","Procedure on vessel bifurcation"," ",
"0045","00","","Insertion of one vascular stent"," ",
"0046","00","","Insertion of two vascular stents"," ",
"0047","00","","Insertion of three vascular stents"," ",
"0048","00","","Insertion of four or more vascular stents"," ",
"0049","00",""," SuperSaturated oxygen therapy"," ",
"0050","00",""," Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [CRT-P]"," ",
"0051","00",""," Implantation of cardiac resynchronization defibrillator, total system [CRT-D]"," ",
"0052","00",""," Implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system"," ",
"0053","00",""," Implantation or replacement of cardiac resynchronization pacemaker pulse generator only [CRT-P]"," ",
"0054","00",""," Implantation or replacement of cardiac resynchronization defibrillator pulse generator device only [CRT-D]"," ",
"0055","00",""," Insertion of drug-eluting peripheral vessel stent(s)"," ",
"0056","00",""," Insertion or replacement of implantable pressure sensor (lead) for intracardiac or great vessel hemodynamic monitoring"," ",
"0057","00",""," Implantation or replacement of subcutaneous device for intracardiac or great vessel hemodynamic monitoring"," ",
"0058","00",""," Insertion of intra-aneurysm sac pressure monitoring device (intraoperative)"," ",
"0059","00",""," Intravascular pressure measurement of coronary arteries"," ",
"0061","00",""," Percutaneous angioplasty or atherectomy of pre cerebral (extracranial) vesse"," ",
"0062","00",""," Percutaneous angioplasty or atherectomy of intracranial vessel(s)"," ",
"0063","00",""," Percutaneous insertion of carotid artery stent( s )"," ",
"0064","00",""," Percutaneous insertion of other precerebral (extracranial) artery stent(s)"," ",
"0065","00",""," Percutaneous insertion of intracranial vascular stent(s)"," ",
"0066","00",""," Percutaneous transluminal coronary angioplasty [PTCA] or  coronary atherectomy"," ",
"0067","00",""," Intravascular pressure measurement of intrathoracic arteries"," ",
"0068","00",""," Intravascular pressure measurement of peripheral arteries"," ",
"0069","00",""," Intravascular pressure measurement, other specified and unspecified vessels"," ",
"0070","00",""," Revision of hip replacement, both acetabular and femoral  components"," ",
"0071","00",""," Revision of hip replacement, acetabular component"," ",
"0072","00",""," Revision of hip replacement, femoral component"," ",
"0073","00",""," Revision of hip replacement, acetabular liner and/or femoral head  only"," ",
"0074","00",""," Hip replacement bearing surface, metal on polyethylene"," ",
"0075","00",""," Hip replacement bearing surface, metal-on-metal"," ",
"0076","00",""," Hip replacement bearing surface, ceramic-on-ceramic"," ",
"0077","00",""," Hip replacement bearing surface, ceramic-on-polyethylene"," ",
"0080","00",""," Revision of knee replacement, total (all components)"," ",
"0081","00",""," Revision of knee replacement, tibial component"," ",
"0082","00",""," Revision of knee replacement, femoral component"," ",
"0083","00",""," Revision of knee replacement, patellar component"," ",
"0084","00",""," Revision of total knee replacement, tibial insert (liner)"," ",
"0085","00",""," Resurfacing hip, total, acetabulum and femoral head"," ",
"0086","00",""," Resurfacing hip, partial, femoral head"," ",
"0087","00",""," Resurfacing hip, partial, acetabulum"," ",
"0091","00",""," Transplant from live related donor"," ",
"0092","00",""," Transplant from live non-related donor"," ",
"0093","00",""," Transplant from cadaver"," ",
"0094","00",""," Intra-operative neurophysiologic monitoring"," ",
"010","00",""," Cranial puncture","*",
"0101","00",""," Cisternal puncture"," ",
"0102","00",""," Venticulopuncture through previously implanted catheter"," ",
"0109","01"," Aspiration cyst thalamic"," Other cranial puncture"," ",
"0109","02"," Irrigation ipidural"," Other cranial puncture"," ",
"011","00",""," Diagnostic procedures on skull, brain, and cerebral meninges","*",
"0110","00",""," Intracranial pressure monitoring"," ",
"0111","00",""," Percutaneous biopsy of cerebral meninges"," ",
"0112","00",""," Other biopsy of cerebral meninges"," ",
"0113","00",""," Percutaneous biopsy of brain"," ",
"0114","01"," BX at brain"," Other biopsy of brain"," ",
"0114","02"," BX brain"," Other biopsy of brain"," ",
"0114","03"," BX thalamic tumor"," Other biopsy of brain"," ",
"0114","04"," Biopsy brain"," Other biopsy of brain"," ",
"0114","05"," Brain BX"," Other biopsy of brain"," ",
"0114","06"," Brain biopsy"," Other biopsy of brain"," ",
"0114","07"," Brain bx"," Other biopsy of brain"," ",
"0114","08"," Craniectomy with biopsy brain"," Other biopsy of brain"," ",
"0114","09"," Excision biopsy cerebral"," Other biopsy of brain"," ",
"0114","10"," Open bx brain"," Other biopsy of brain"," ",
"0114","11"," Temporal biopsy brain"," Other biopsy of brain"," ",
"0114","12"," Tumor biopsy brain"," Other biopsy of brain"," ",
"0114","13"," Craniotomy with tumor biopsy"," Other biopsy of brain"," ",
"0114","14"," Steriotactie brain biopsy"," Other biopsy of brain"," ",
"0115","01"," Craniotomy,tumor bx skull"," Biopsy of skull"," ",
"0115","02"," CT guided bx skull"," Biopsy of skull"," ",
"0116","00",""," Intracranial oxygen monitoring"," ",
"0117","00",""," Brain temperature monitoring"," ",
"0118","01"," CO2 laser"," Other diagnostic procedures on brain and cerebral meninges"," ",
"0119","00",""," Other diagnostic procedures on skull"," ",
"012","00",""," Craniotomy and craniectomy","*",
"0121","00",""," Incision and drainage of cranial sinus"," ",
"0122","00",""," Removal of intracranial neurostimulator"," ",
"0123","01"," Re craniotomy"," Reopening of craniotomy site"," ",
"0123","02"," Re-craniotomy"," Reopening of craniotomy site"," ",
"0123","03"," Recraniotomy"," Reopening of craniotomy site"," ",
"0124","01"," Bilateral burr hole"," Other craniotomy"," ",
"0124","02"," Bilateral craniotomy with tumor removal"," Other craniotomy"," ",
"0124","03"," Bure hole"," Other craniotomy"," ",
"0124","04"," Bure hole C irrigation"," Other craniotomy"," ",
"0124","05"," Burr hole"," Other craniotomy"," ",
"0124","06"," Burr hole with Irrigation"," Other craniotomy"," ",
"0124","07"," Burr holes"," Other craniotomy"," ",
"0124","08"," Burr-hole C Irrigation"," Other craniotomy"," ",
"0124","09"," Craniotomy"," Other craniotomy"," ",
"0124","10"," Craniotomy with clot removal"," Other craniotomy"," ",
"0124","11"," Craniotomy with extradural approach"," Other craniotomy"," ",
"0124","12"," Craniotomy with patial remova"," Other craniotomy"," ",
"0124","13"," Craniotomy with removal clot"," Other craniotomy"," ",
"0124","14"," Craniotomy with tumor removal"," Other craniotomy"," ",
"0124","15"," Decompressive craniectomy Lt"," Other craniotomy"," ",
"0124","16"," Explore craniotomy"," Other craniotomy"," ",
"0124","17"," I&D skull"," Other craniotomy"," ",
"0124","18"," Lt Burr hole"," Other craniotomy"," ",
"0124","19"," Lt craniotomy"," Other craniotomy"," ",
"0124","20"," Lt occipial craniotomy"," Other craniotomy"," ",
"0124","21"," Lt partial craniotomy"," Other craniotomy"," ",
"0124","22"," P fossa decompression"," Other craniotomy"," ",
"0124","23"," RT Craniotomy"," Other craniotomy"," ",
"0124","24"," RT craniotomy"," Other craniotomy"," ",
"0124","25"," Rt frontal craniotomy"," Other craniotomy"," ",
"0124","26"," Rt fronto-parietal craniotomy"," Other craniotomy"," ",
"0124","27"," Rt subfrontal craniotomy"," Other craniotomy"," ",
"0124","28"," Wide craniotomy"," Other craniotomy"," ",
"0124","29"," Foramen magnum decompression"," Other craniotomy"," ",
