"Payer","Name","Coverage","Type","Province","ShortName","Project","GroupID","Customer"
51613,"กองทุนประกันสังคม",,,"กรุงเทพมหานคร","กองทุน ปกส.",,,
51614,"กองทุนประกันสุขภาพ",,,"กรุงเทพมหานคร","กองทุน ปสภ.",,,
51607,"กองคลัง มหาวิทยาลัยมหิดล",,,"นครปฐม","ภายใน ม.มหิดล",,,
"51229","คณะทันตแพทยศาสตร์ มหาวิทยาลัยมหิดล",,1,"กรุงเทพมหานคร","ภายใน ม.มหิดล",,,
"51230","คณะวิทยาศาสตร์ มหาวิทยาลับมหิดล",,1,"กรุงเทพมหานคร","ภายใน ม.มหิดล",,,
"51231","คณะเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล",,1,"กรุงเทพมหานคร","ภายใน ม.มหิดล",,,
"51232","คณะสาธารณสุขศาสตร์ มหาวิทยาลัยมิหดล",,1,"กรุงเทพมหานคร","ภายใน ม.มหิดล",,,
"51228","งานกิจการนักศึกษา บัณฑิตวิทยาลัย","SMU",3,"กรุงเทพมหานคร","ภายใน ม.มหิดล",,,
"50080","สถาบันวิจัยภาษาและวัฒนธรรมเพื่อพัฒนาชนบท ม.มหิดล","PUB",1,"นครปฐม","ภายใน ม.มหิดล",,,
"50053","บัณฑิตวิทยาลัย มหาวิทยาลัยมหิดล","PUB",1,"นครปฐม","ภายใน ม.มหิดล",,,
"50026","อาคารชุดพักอาศัย  มหาวิทยาลัยมหิดล","PUB",1,"นครปฐม","ภายใน ม.มหิดล",,,
"51867","คณะวิศวกรรมศาสตร์ มหาวิทยาลัยมหิดล",,,"นครปฐม","ภายใน ม.มหิดล",,,
"51885","คณะศิลปศาสตร์ มหาวิทยาลัยมหิดล","PUB",1,"นครปฐม","ภายใน ม.มหิดล",,,
"10660","โรงพยาบาลพระนครศรีอยุธยา",,,"พระนครศรีอยุธยา","รพ.รัฐบาล",,,
"10661","โรงพยาบาลสระบุรี",,,"สระบุรี","รพ.รัฐบาล",,,
"10662","โรงพยาบาลชลบุรี",,,"ชลบุรี","รพ.รัฐบาล",,,
"10663","โรงพยาบาลระยอง",,,"ระยอง","รพ.รัฐบาล",,,
"10664","โรงพยาบาลพระปกเกล้า",,,"จันทบุรี","รพ.รัฐบาล",,,
"10665","โรงพยาบาลเจ้าพระยาอภัยภูเบศร์",,,"ปราจีนบุรี","รพ.รัฐบาล",,,
"10666","โรงพยาบาลมหาราชนครราชสีมา",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10667","โรงพยาบาลบุรีรัมย์",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10668","โรงพยาบาลสุรินทร์",,,"สุรินทร์","รพ.รัฐบาล",,,
"10669","โรงพยาบาลสรรพสิทธิประสงค์",,,"อุบลราชธานี","รพ.รัฐบาล",,,
"10670","โรงพยาบาลขอนแก่น",,,"ขอนแก่น","รพ.รัฐบาล",,,
"10671","โรงพยาบาลอุดรธานี",,,"อุดรธานี","รพ.รัฐบาล",,,
"10672","โรงพยาบาลลำปาง",,,"ลำปาง","รพ.รัฐบาล",,,
"10673","โรงพยาบาลอุตรดิตถ์",,,"อุตรดิตถ์","รพ.รัฐบาล",,,
"10674","โรงพยาบาลเชียงรายประชานุเคราะห์",,,"เชียงราย","รพ.รัฐบาล",,,
"10675","โรงพยาบาลสวรรค์ประชารักษ์",,,"นครสวรรค์","รพ.รัฐบาล",,,
"10676","โรงพยาบาลพุทธชินราช",,,"พิษณุโลก","รพ.รัฐบาล",,,
"10677","โรงพยาบาลราชบุรี",,,"ราชบุรี","รพ.รัฐบาล",,,
"10678","โรงพยาบาลเจ้าพระยายมราช",,,"สุพรรณบุรี","รพ.รัฐบาล",,,
"10679","โรงพยาบาลนครปฐม",,,"นครปฐม","รพ.รัฐบาล",,,
"10680","โรงพยาบาลมหาราชนครศรีธรรมราช",,,"นครศรีธรรมราช","รพ.รัฐบาล",,,
"10681","โรงพยาบาลสุราษฎร์ธานี",,,"สุราษฎร์ธานี","รพ.รัฐบาล",,,
"10682","โรงพยาบาลหาดใหญ่(รพศ.)",,,"สงขลา","รพ.รัฐบาล",,,
"10683","โรงพยาบาลตรัง",,,"ตรัง","รพ.รัฐบาล",,,
"10684","โรงพยาบาลยะลา",,,"ยะลา","รพ.รัฐบาล",,,
"10685","โรงพยาบาลสมุทรปราการ",,,"สมุทรปราการ","รพ.รัฐบาล",,,
"10686","โรงพยาบาลพระนั่งเกล้า",,,"นนทบุรี","รพ.รัฐบาล",,,
"10687","โรงพยาบาลปทุมธานี",,,"ปทุมธานี","รพ.รัฐบาล",,,
