"CODE","ACCPDX","STRAGE","ENDAGE","SEX","PDX_LEVEL","BK1","BK2"
"A00","True",0,200,"12",0,"",""
"A000","True",0,200,"12",0,"",""
"A001","True",0,200,"12",0,"",""
"A009","True",0,200,"12",0,"",""
"A01","True",0,200,"12",0,"",""
"A010","True",0,200,"12",0,"",""
"A011","True",0,200,"12",0,"",""
"A012","True",0,200,"12",0,"",""
"A013","True",0,200,"12",0,"",""
"A014","True",0,200,"12",0,"",""
"A02","True",0,200,"12",0,"",""
"A020","True",0,200,"12",0,"",""
"A021","True",0,200,"12",0,"",""
"A022","True",0,200,"12",0,"",""
"A028","True",0,200,"12",0,"",""
"A029","True",0,200,"12",0,"",""
"A03","True",0,200,"12",0,"",""
"A030","True",0,200,"12",0,"",""
"A031","True",0,200,"12",0,"",""
"A032","True",0,200,"12",0,"",""
"A033","True",0,200,"12",0,"",""
"A038","True",0,200,"12",0,"",""
"A039","True",0,200,"12",0,"",""
"A04","True",0,200,"12",0,"",""
"A040","True",0,200,"12",0,"",""
"A041","True",0,200,"12",0,"",""
"A042","True",0,200,"12",0,"",""
"A043","True",0,200,"12",0,"",""
"A044","True",0,200,"12",0,"",""
"A045","True",0,200,"12",0,"",""
"A046","True",0,200,"12",0,"",""
"A047","True",0,200,"12",0,"",""
"A048","True",0,200,"12",0,"",""
"A049","True",0,200,"12",0,"",""
"A05","True",0,200,"12",0,"",""
"A050","True",0,200,"12",0,"",""
"A051","True",0,200,"12",0,"",""
"A052","True",0,200,"12",0,"",""
"A053","True",0,200,"12",0,"",""
"A054","True",0,200,"12",0,"",""
"A058","True",0,200,"12",0,"",""
"A059","True",0,200,"12",0,"",""
"A06","True",0,200,"12",0,"",""
"A060","True",0,200,"12",0,"",""
"A061","True",0,200,"12",0,"",""
"A062","True",0,200,"12",0,"",""
"A063","True",0,200,"12",0,"",""
"A064","True",0,200,"12",0,"",""
"A065","True",0,200,"12",0,"",""
"A066","True",0,200,"12",0,"",""
"A067","True",0,200,"12",0,"",""
"A068","True",0,200,"12",0,"",""
"A069","True",0,200,"12",0,"",""
"A07","True",0,200,"12",0,"",""
"A070","True",0,200,"12",0,"",""
"A071","True",0,200,"12",0,"",""
"A072","True",0,200,"12",0,"",""
"A073","True",0,200,"12",0,"",""
"A078","True",0,200,"12",0,"",""
"A079","True",0,200,"12",0,"",""
"A08","True",0,200,"12",0,"",""
"A080","True",0,200,"12",0,"",""
"A081","True",0,200,"12",0,"",""
"A082","True",0,200,"12",0,"",""
"A083","True",0,200,"12",0,"",""
"A084","True",0,200,"12",0,"",""
"A085","True",0,200,"12",0,"",""
"A09","True",0,200,"12",0,"",""
"A15","True",0,200,"12",0,"",""
"A150","True",0,200,"12",0,"",""
"A151","True",0,200,"12",0,"",""
"A152","True",0,200,"12",0,"",""
"A153","True",0,200,"12",0,"",""
"A154","True",0,200,"12",0,"",""
"A155","True",0,200,"12",0,"",""
"A156","True",0,200,"12",0,"",""
"A157","True",0,200,"12",0,"",""
"A158","True",0,200,"12",0,"",""
"A159","True",0,200,"12",0,"",""
"A16","True",0,200,"12",0,"",""
"A160","True",0,200,"12",0,"",""
"A161","True",0,200,"12",0,"",""
"A162","True",0,200,"12",0,"",""
"A163","True",0,200,"12",0,"",""
"A164","True",0,200,"12",0,"",""
"A165","True",0,200,"12",0,"",""
"A167","True",0,200,"12",0,"",""
"A168","True",0,200,"12",0,"",""
"A169","True",0,200,"12",0,"",""
"A17","True",0,200,"12",0,"",""
"A170","True",0,200,"12",0,"",""
"A171","True",0,200,"12",0,"",""
"A178","True",0,200,"12",0,"",""
"A179","True",0,200,"12",0,"",""
"A18","True",0,200,"12",0,"",""
"A180","True",0,200,"12",0,"",""
"A181","True",0,200,"12",0,"",""
"A182","True",0,200,"12",0,"",""
"A183","True",0,200,"12",0,"",""
"A184","True",0,200,"12",0,"",""
"A185","True",0,200,"12",0,"",""
"A186","True",0,200,"12",0,"",""
"A187","True",0,200,"12",0,"",""
"A188","True",0,200,"12",0,"",""
"A19","True",0,200,"12",0,"",""
"A190","True",0,200,"12",0,"",""
"A191","True",0,200,"12",0,"",""
